cutoff.234.high,cutoff.234.low,cutoff.34.high,cutoff.34.low
8.383848654,-2.988147865,6.443091099,-6.028468452
8.161549822,-2.075544157,6.835539063,-5.66083457
8.482762655,-1.359629874,7.080751337,-4.847062478
9.6304774,-0.885193575,7.978455495,-3.805474537
10.13418109,-0.633575154,9.421200205,-3.199494572
9.987236152,-0.422390661,10.51076336,-2.998869006
9.685577617,0.431544175,10.5127102,-2.437612801
